section,key,context,source,description,notes,placeholders,screenshot,references,translation,status,previous_source,source_hash
strings,Formula.Tabs.UnknownComponent,Trang Công thức → tab Tìm thành phần chưa biết (Android và Windows).,𝑥  Tìm thành phần chưa biết,"Mở hướng dẫn tìm số chưa biết trong phép cộng, trừ, nhân, chia; không nói về thành phần phần mềm.",Giữ ký hiệu 𝑥. Dịch ngắn gọn vì đây là nhãn tab.,,,"Views/FormulaPage.xaml:45
Views/FormulaPage.xaml:154",,untranslated,,eda79ed044780a295e2bdeb7458ec5a8672b95f9794b46b87257bc7d79c493fd
strings,Formula.Tabs.Proportion,Trang Công thức → tab Tỉ lệ thuận – nghịch – kép.,↗↘⤢  Tỉ lệ thuận – nghịch – kép,Mở hướng dẫn quan hệ tỉ lệ giữa các đại lượng.,Giữ ký hiệu ↗↘⤢. Dùng nhãn ngắn gọn.,,,"Views/FormulaPage.xaml:62
Views/FormulaPage.xaml:168",,untranslated,,a51ec28a9c7008becaa0e37244c6a8d7746253b53fbc7728da1dd6d1bac1102b
strings,Formula.Tabs.Motion,Trang Công thức → tab Chuyển động.,➜  Chuyển động,"Mở công thức quãng đường, vận tốc và thời gian.",Giữ ký hiệu ➜. Dùng thuật ngữ chuyển động trong toán học.,,,"Views/FormulaPage.xaml:78
Views/FormulaPage.xaml:184",,untranslated,,be6df4bd3006c13f50f5ab46481ff476357f128fa75f48e81ca9a340bb005630
strings,Formula.Tabs.Average,Trang Công thức → tab Trung bình cộng.,x̄  Trung bình cộng,Mở hướng dẫn tính tổng các giá trị chia cho số lượng giá trị.,"Giữ ký hiệu x̄. Đây là trung bình cộng, không phải mức độ trung bình.",,,"Views/FormulaPage.xaml:94
Views/FormulaPage.xaml:200",,untranslated,,2827cdd9780d08929cd3f06fd907f83f725cda2e777c4e42dd55139746940d07
strings,Formula.Tabs.Geometry,Trang Công thức → tab Hình học.,△  Hình học,Mở phần công thức hình học.,Giữ ký hiệu △. Dùng nhãn ngắn gọn.,,,"Views/FormulaPage.xaml:110
Views/FormulaPage.xaml:216",,untranslated,,2e9c6e34f5504400a05df0d57e968752883866b1596267198ff6f7480dbdd50b
strings,Formula.Common.Relationship,Công thức toán học — nội dung hướng dẫn và minh họa.,1. MỐI QUAN HỆ,,,,,"Views/MotionFormulaView.xaml:59
Views/ProportionFormulaView.xaml:59",,untranslated,,35085362533637d959abd764ac596ccd526459d171868114f8871eacab87cf9d
strings,Formula.Common.Formulas,Công thức toán học — nội dung hướng dẫn và minh họa.,2. CÔNG THỨC,,,,,"Views/MotionFormulaView.xaml:408
Views/ProportionFormulaView.xaml:463",,untranslated,,722ffd61fd67c679fd9a30c209b06166651dee15625477b8f24e22ab308d888d
strings,Formula.Common.Properties,Công thức toán học — nội dung hướng dẫn và minh họa.,3. TÍNH CHẤT,,,,,"Views/MotionFormulaView.xaml:511
Views/ProportionFormulaView.xaml:540",,untranslated,,f63bbe1ce75b528c491e271edb4bdbcf2e4a46b5487978cc83aa1c8755507ea5
strings,Formula.Common.HowToSolve,Công thức toán học — nội dung hướng dẫn và minh họa.,4. CÁCH GIẢI,,,,,"Views/MotionFormulaView.xaml:551
Views/ProportionFormulaView.xaml:583",,untranslated,,cf18b9dc9981d72d408ccb7e207de3b8661f2ecafa50ce6ec6cf45d48bd6e6c7
strings,Formula.Proportion.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,TỈ LỆ THUẬN – TỈ LỆ NGHỊCH – TỈ LỆ KÉP,,,,,Views/ProportionFormulaView.xaml:33,,untranslated,,ac21f4b13cf09a0a9252a14735f5f3bbd647af562bc7bdee05c7ddea169f9fa8
strings,Formula.Proportion.Subtitle,Công thức toán học — nội dung hướng dẫn và minh họa.,Nhận biết mối quan hệ • Lập công thức • Giải bài toán nhiều đại lượng,,,,,Views/ProportionFormulaView.xaml:40,,untranslated,,bcc18b2f8c9f1a2a82748d8d9f1d33d24ddbe676c5730ba64b7cade14e0df29c
strings,Formula.Proportion.Direct.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ thuận,,,,,Views/ProportionFormulaView.xaml:81,,untranslated,,1d266a31092f218f01d08744317285772128ef4f6654b247d055faffcf196eb0
strings,Formula.Proportion.Direct.Relationship,Công thức toán học — nội dung hướng dẫn và minh họa.,Hai đại lượng x và y tỉ lệ thuận khi y bằng x nhân với một hằng số k. x tăng (hoặc giảm) bao nhiêu lần thì y cũng tăng (hoặc giảm) bấy nhiêu lần.,,,,,Views/ProportionFormulaView.xaml:86,,untranslated,,ce0640040f8214a5da2d7a714af955a50ed9e7f2e23ca43b83df3a93e9db8b32
strings,Formula.Proportion.Inverse.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ nghịch,,,,,Views/ProportionFormulaView.xaml:112,,untranslated,,a9592ae678b4c69b5af0d9a0b23440aafc41d7514e37c966571d85409ee40c26
strings,Formula.Proportion.Inverse.Relationship,Công thức toán học — nội dung hướng dẫn và minh họa.,Hai đại lượng x và y tỉ lệ nghịch khi y bằng một hằng số k chia cho x. x tăng bao nhiêu lần thì y giảm bấy nhiêu lần và ngược lại.,,,,,Views/ProportionFormulaView.xaml:117,,untranslated,,d6077a8cbdba638e51b507ecb0338b5810db3e30468da7f51cc6ec6e3c9bf53e
strings,Formula.Proportion.Direct.Formulas,Công thức toán học — nội dung hướng dẫn và minh họa.,"Tỉ lệ thuận:
y = k × x
k = y ÷ x
y₁ ÷ x₁ = y₂ ÷ x₂",,,,,Views/ProportionFormulaView.xaml:477,,untranslated,,432807a0515279fc98b4320ad76bf82fec3acb65917c5c8d55974a832fd4938d
strings,Formula.Proportion.Inverse.Formulas,Công thức toán học — nội dung hướng dẫn và minh họa.,"Tỉ lệ nghịch:
y = k ÷ x
k = x × y
x₁ × y₁ = x₂ × y₂",,,,,Views/ProportionFormulaView.xaml:494,,untranslated,,1c2faf649ca8f0f45b42b5a96283b1ffc89fa5c7cec2d372b83315a8bf04fb16
strings,Formula.Proportion.Conditions,Công thức toán học — nội dung hướng dẫn và minh họa.,Điều kiện: k ≠ 0. Với tỉ lệ nghịch còn phải có x ≠ 0 và y ≠ 0.,,,,,Views/ProportionFormulaView.xaml:520,,untranslated,,bbfd348549d3951d08f01669efed09793a06592d83b33f4ef4174904816f534c
strings,Formula.Proportion.Direct.Properties,Công thức toán học — nội dung hướng dẫn và minh họa.,• Tỉ lệ thuận: tỉ số y ÷ x luôn không đổi và bằng hệ số tỉ lệ k. Nhân x với m thì y cũng được nhân với m.,,,,,Views/ProportionFormulaView.xaml:545,,untranslated,,bf06bf24e31c9c4daa8fba5a9c46768992385149bb105c82e6a20e6aaecc869e
strings,Formula.Proportion.Inverse.Properties,Công thức toán học — nội dung hướng dẫn và minh họa.,• Tỉ lệ nghịch: tích x × y luôn không đổi và bằng k. Nhân x với m (m ≠ 0) thì y được chia cho m.,,,,,Views/ProportionFormulaView.xaml:551,,untranslated,,7bc3b042e035b2ced2f6847734fa6ebf2e7954b593215e64f88e691e16772af4
strings,Formula.Proportion.GraphProperties,Công thức toán học — nội dung hướng dẫn và minh họa.,• Đồ thị: y = kx là đường thẳng đi qua gốc tọa độ; y = k/x là một hypebol và không cắt hai trục tọa độ.,,,,,Views/ProportionFormulaView.xaml:563,,untranslated,,5195fa213b703f5c9429749f53fa8e7e8b04d780dce0ace1bae7d9600cdecd52
strings,Formula.Proportion.Graph.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,MINH HỌA TƯƠNG TÁC,,,,,Views/ProportionFormulaView.xaml:177,,untranslated,,4d66bdc48e775f3b0f0962947f0dec737fca4c2cd4c612af8b028ce6351fcf7d
strings,Formula.Proportion.Graph.Subtitle,Công thức toán học — nội dung hướng dẫn và minh họa.,"Chọn “Tỉ lệ đơn” để xem đồ thị y = 2x và y = 2/x, hoặc chọn “Tỉ lệ kép” để xem nhiều đại lượng cùng tác động đến số ngày.",,,,,Views/ProportionFormulaView.xaml:182,,untranslated,,773123af700a783a8cbc964d8c10590d4ef7acc434094286e5d9542ebd80e3bf
strings,Formula.Proportion.Graph.DirectLegend,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ thuận: y = 2x,,,,,"Graphics/ProportionComparisonDrawable.cs:23
Views/ProportionFormulaView.xaml.cs:320",,untranslated,,5596ec67bf4224b1299d1f482007d184f8fdd29bd513ca0ef0b5c0baa2b5970a
strings,Formula.Proportion.Graph.InverseLegend,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ nghịch: y = 2/x,,,,,"Graphics/ProportionComparisonDrawable.cs:26
Views/ProportionFormulaView.xaml.cs:321",,untranslated,,6fdba00adead86b2ec27851e78b5d59f9d2331e0aa3af9268e245adc20975d0c
strings,Formula.Proportion.Graph.XValue,Công thức toán học — nội dung hướng dẫn và minh họa.,x = {0},,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Views/ProportionFormulaView.xaml.cs:323,,untranslated,,3abf5e1a895243108cf9524622179bc2cf9c21970300cc945030035a3150ca95
strings,Formula.Proportion.Graph.DirectValue,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ thuận: y = {0}; y ÷ x luôn bằng 2.,,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Views/ProportionFormulaView.xaml.cs:324,,untranslated,,2352382819f028d73470c84cef93646825f7907239dc0ce1c2afc33310ba46ba
strings,Formula.Proportion.Graph.InverseValue,Công thức toán học — nội dung hướng dẫn và minh họa.,Tỉ lệ nghịch: y = {0}; x × y luôn bằng 2.,,,{0}: Cần bổ sung ý nghĩa và ví dụ cho biến này.,,Views/ProportionFormulaView.xaml.cs:325,,untranslated,,772f6fe0c25e7bf84f5a9eb009a32767e7698209c055681a5fabe8ae1a7af145
strings,Formula.Proportion.Graph.SliderHint,Công thức toán học — nội dung hướng dẫn và minh họa.,Thay đổi giá trị x,,,,,Views/ProportionFormulaView.xaml:250,,untranslated,,b992036bd00f0595fbbfc0d46e61eb195fcff5be802ec6eb62f9635fd888169e
strings,Formula.Proportion.Summary.Title,Công thức toán học — nội dung hướng dẫn và minh họa.,Tóm tắt,,,,,"Views/ProportionFormulaView.xaml:626
Views/ProportionFormulaView.xaml:680",,untranslated,,b4bb30647518cbd0931b4ddc8c5b5bc8ca2fe684826865c6bbfbe44a1bfd8b8b
strings,Formula.Proportion.Summary.Solution,Công thức toán học — nội dung hướng dẫn và minh họa.,Bài giải,,,,,"Views/ProportionFormulaView.xaml:656
Views/ProportionFormulaView.xaml:696",,untranslated,,b577cb323fc5d61be7b54a74900aa9aa7acdc4e85e88abd1e336985d7e6a5e91
strings,Formula.Proportion.Direct.Method,Công thức toán học — nội dung hướng dẫn và minh họa.,Nhân chéo – chia ngang,,,,,Views/ProportionFormulaView.xaml:633,,untranslated,,21d1789a8e30ffed3cff0906b74efe756dcfa5ccfa6fe96d5cfe82a42b66da36
strings,Formula.Proportion.Inverse.Method,Công thức toán học — nội dung hướng dẫn và minh họa.,Nhân ngang – chia dọc,,,,,Views/ProportionFormulaView.xaml:681,,untranslated,,c45b2b34d22dbf623d67d4ef86adeafe746f619fdd12acf30017f3c2d08ca0df
strings,Formula.Proportion.Direct.LeftTop,Công thức toán học — nội dung hướng dẫn và minh họa.,3 kg gạo,,,,,Views/ProportionFormulaView.xaml:645,,untranslated,,0bbba939b49fd85a3deaab39b3720455585ed8c81d62e32b08281b11a5aabb7d
strings,Formula.Proportion.Direct.RightTop,Công thức toán học — nội dung hướng dẫn và minh họa.,54.000 đồng,,,,,Views/ProportionFormulaView.xaml:646,,untranslated,,2870f026481063885a6961fa44305e3a0e4253f043777008dde8c2e50ebd7b87
strings,Formula.Proportion.Direct.LeftBottom,Công thức toán học — nội dung hướng dẫn và minh họa.,5 kg gạo,,,,,Views/ProportionFormulaView.xaml:647,,untranslated,,a2219eeae27a5dba034466dea01fe95582b082d7925fe102293ef27b1e9fd14c
strings,Formula.Proportion.Direct.RightBottom,Công thức toán học — nội dung hướng dẫn và minh họa.,? đồng,,,,,Views/ProportionFormulaView.xaml:648,,untranslated,,512f886bd7ab80bd29b3c952bd232179bfa1ecab2c291d3c4d0404a506e56e3f
strings,Formula.Proportion.Direct.Calculation,Công thức toán học — nội dung hướng dẫn và minh họa.,? = 54.000 × 5 ÷ 3 = 90.000 đồng,,,,,Views/ProportionFormulaView.xaml:652,,untranslated,,9bc1130b88f7ebe6ece9130056532eeb63bdecc7c334030b3d606ee9e5d4b774
strings,Formula.Proportion.Inverse.LeftTop,Công thức toán học — nội dung hướng dẫn và minh họa.,6 người,,,,,Views/ProportionFormulaView.xaml:685,,untranslated,,a3b3ded6f5a2b67fc1a3ce2474def244178e0b2556caad4b81103c32f42b68c3
strings,Formula.Proportion.Inverse.RightTop,Công thức toán học — nội dung hướng dẫn và minh họa.,8 ngày,,,,,Views/ProportionFormulaView.xaml:686,,untranslated,,6bea11628a1aa8406343e71a693173028406b6e930e02bd54dced5b58f861b7f
strings,Formula.Proportion.Inverse.LeftBottom,Công thức toán học — nội dung hướng dẫn và minh họa.,12 người,,,,,Views/ProportionFormulaView.xaml:687,,untranslated,,d68b17fdafe912703c7dda7249a1acc4f1a43fd6f6ca82d462b2943cae6b4752
strings,Formula.Proportion.Inverse.RightBottom,Công thức toán học — nội dung hướng dẫn và minh họa.,? ngày,,,,,Views/ProportionFormulaView.xaml:688,,untranslated,,a0748594c473188a1083fc9df4277718a238b9b1a887e21be23e683ba8fbafa4
strings,Formula.Proportion.Inverse.Calculation,Công thức toán học — nội dung hướng dẫn và minh họa.,? = 6 × 8 ÷ 12 = 4 ngày,,,,,Views/ProportionFormulaView.xaml:692,,untranslated,,20cca3c6858389209f04eb9ffbb9b7e3af4324b78a4f414353365ac8bd63c940
